domain,problem,heuristic,solved,time,timeout,plan_length,expansions,generated,evaluations,memory_kb
blocks,task33,landmark,True,3.527954339981079,False,132,10263,22948,37829,
blocks,task34,landmark,True,5.339144706726074,False,148,29292,62187,108721,
blocks,task35,landmark,True,27.126423835754395,False,130,179584,358012,640352,
logistics,task01,hff,True,0.23320293426513672,False,20,21,121,149,
logistics,task02,hff,True,0.16268706321716309,False,19,23,129,165,
logistics,task03,hff,True,0.230147123336792,False,15,19,80,109,
logistics,task04,hff,True,0.19136905670166016,False,27,31,201,251,
logistics,task05,hff,True,0.21859312057495117,False,17,20,124,153,
logistics,task06,hff,True,0.16996479034423828,False,8,9,49,60,
logistics,task07,hff,True,0.23528695106506348,False,25,29,209,256,
logistics,task08,hff,True,0.1873915195465088,False,14,16,104,125,
logistics,task09,hff,True,0.1880338191986084,False,25,29,204,249,
logistics,task10,hff,True,0.26578760147094727,False,24,28,174,215,
logistics,task11,hff,True,0.31211066246032715,False,38,51,488,593,
logistics,task12,hff,True,0.4061861038208008,False,44,54,523,627,
logistics,task13,hff,True,0.2812650203704834,False,31,37,364,430,
logistics,task14,hff,True,0.4375343322753906,False,45,55,612,716,
logistics,task15,hff,True,0.3746039867401123,False,38,43,489,562,
logistics,task16,hff,True,0.5157277584075928,False,30,32,361,412,
logistics,task17,hff,True,0.5942087173461914,False,45,55,789,898,
logistics,task18,hff,True,0.528691291809082,False,42,51,680,784,
logistics,task19,hff,True,0.6433389186859131,False,49,60,881,1008,
logistics,task20,hff,True,1.0160760879516602,False,66,101,1454,1711,
logistics,task21,hff,True,0.7337584495544434,False,44,66,944,1112,
logistics,task22,hff,True,1.1319005489349365,False,74,95,1542,1756,
logistics,task23,hff,True,3.805100679397583,False,79,131,2798,3224,
logistics,task24,hff,True,3.4533579349517822,False,66,130,2655,3135,
logistics,task25,hff,True,1.8595638275146484,False,58,71,1647,1808,
logistics,task26,hff,True,2.844003438949585,False,78,110,2443,2734,
logistics,task27,hff,True,41.51520752906799,False,86,1474,25083,35897,
logistics,task28,hff,True,8.407813787460327,False,74,192,3929,5063,
logistics,task01,hadd,True,0.1944284439086914,False,20,21,129,155,
logistics,task02,hadd,True,0.17377161979675293,False,21,24,134,169,
logistics,task03,hadd,True,0.15810012817382812,False,15,16,71,91,
logistics,task04,hadd,True,0.17478537559509277,False,30,31,192,232,
logistics,task05,hadd,True,0.18224048614501953,False,19,23,135,167,
logistics,task06,hadd,True,0.16078662872314453,False,8,9,54,65,
logistics,task07,hadd,True,0.17342257499694824,False,28,29,204,241,
logistics,task08,hadd,True,0.17111873626708984,False,14,15,99,117,
logistics,task09,hadd,True,0.18694615364074707,False,27,28,179,215,
logistics,task10,hadd,True,0.1876370906829834,False,24,25,158,191,
logistics,task11,hadd,True,0.2824227809906006,False,41,47,460,540,
logistics,task12,hadd,True,0.2996714115142822,False,47,48,478,552,
logistics,task13,hadd,True,0.24564099311828613,False,34,36,353,408,
logistics,task14,hadd,True,0.32838869094848633,False,52,55,590,670,
logistics,task15,hadd,True,0.313262939453125,False,44,50,521,605,
logistics,task16,hadd,True,0.3203718662261963,False,37,45,465,546,
logistics,task17,hadd,True,0.6802992820739746,False,52,62,794,917,
logistics,task18,hadd,True,0.5445370674133301,False,47,54,737,845,
logistics,task19,hadd,True,1.0848445892333984,False,59,67,990,1114,
logistics,task20,hadd,True,1.2452232837677002,False,71,82,1189,1352,
logistics,task21,hadd,True,1.0589408874511719,False,50,107,1260,1647,
logistics,task22,hadd,True,2.0314834117889404,False,87,154,2076,2615,
logistics,task23,hadd,True,1.968937873840332,False,82,83,1793,1943,
logistics,task24,hadd,True,1.4997241497039795,False,67,68,1446,1562,
logistics,task25,hadd,True,1.7240195274353027,False,67,75,1672,1822,
logistics,task26,hadd,True,2.3682029247283936,False,84,94,2084,2276,
logistics,task27,hadd,True,2.6881983280181885,False,91,98,2293,2474,
