domain,problem,heuristics,strategy,n_heuristics,solved,time,timeout,plan_length,expansions
parcprinter,task13,"hadd,hff,landmark",max,3,True,0.36090779304504395,False,25,
parcprinter,task14,"hadd,hff,landmark",max,3,True,0.5883843898773193,False,33,
parcprinter,task15,"hadd,hff,landmark",max,3,True,1.2937471866607666,False,49,
parcprinter,task16,"hadd,hff,landmark",max,3,True,2.0215554237365723,False,49,
parcprinter,task17,"hadd,hff,landmark",max,3,True,3.656937599182129,False,57,
parcprinter,task18,"hadd,hff,landmark",max,3,True,6.156622886657715,False,65,
parcprinter,task19,"hadd,hff,landmark",max,3,True,13.565637588500977,False,89,
parcprinter,task20,"hadd,hff,landmark",max,3,True,21.43247675895691,False,89,
parcprinter,task21,"hadd,hff,landmark",max,3,True,0.20813846588134766,False,8,
parcprinter,task22,"hadd,hff,landmark",max,3,True,0.21454119682312012,False,15,
parcprinter,task23,"hadd,hff,landmark",max,3,True,0.26233482360839844,False,22,
parcprinter,task24,"hadd,hff,landmark",max,3,True,0.5791230201721191,False,29,
parcprinter,task25,"hadd,hff,landmark",max,3,True,1.421212911605835,False,40,
parcprinter,task26,"hadd,hff,landmark",max,3,True,1.2810256481170654,False,43,
parcprinter,task27,"hadd,hff,landmark",max,3,True,2.6774232387542725,False,50,
parcprinter,task28,"hadd,hff,landmark",max,3,True,3.30741548538208,False,57,
parcprinter,task29,"hadd,hff,landmark",max,3,True,13.45210599899292,False,72,
parcprinter,task30,"hadd,hff,landmark",max,3,True,8.390697956085205,False,75,
parcprinter,task01,"hadd,hff,landmark",alternation,3,True,0.1983168125152588,False,8,
parcprinter,task02,"hadd,hff,landmark",alternation,3,True,0.17743682861328125,False,15,
parcprinter,task03,"hadd,hff,landmark",alternation,3,True,0.20220351219177246,False,22,
parcprinter,task04,"hadd,hff,landmark",alternation,3,True,0.3756594657897949,False,29,
parcprinter,task05,"hadd,hff,landmark",alternation,3,True,0.546454906463623,False,36,
parcprinter,task06,"hadd,hff,landmark",alternation,3,True,0.9382688999176025,False,43,
parcprinter,task07,"hadd,hff,landmark",alternation,3,True,1.5778491497039795,False,50,
parcprinter,task08,"hadd,hff,landmark",alternation,3,True,2.843938112258911,False,57,
parcprinter,task09,"hadd,hff,landmark",alternation,3,True,3.452606678009033,False,64,
parcprinter,task10,"hadd,hff,landmark",alternation,3,True,4.624944686889648,False,71,
parcprinter,task11,"hadd,hff,landmark",alternation,3,True,0.1879265308380127,False,9,
parcprinter,task12,"hadd,hff,landmark",alternation,3,True,0.21813035011291504,False,17,
parcprinter,task13,"hadd,hff,landmark",alternation,3,True,0.35970163345336914,False,25,
parcprinter,task14,"hadd,hff,landmark",alternation,3,True,0.734581708908081,False,33,
parcprinter,task15,"hadd,hff,landmark",alternation,3,True,1.5776581764221191,False,49,
parcprinter,task16,"hadd,hff,landmark",alternation,3,True,2.320884943008423,False,49,
parcprinter,task17,"hadd,hff,landmark",alternation,3,True,3.517472505569458,False,57,
parcprinter,task18,"hadd,hff,landmark",alternation,3,True,6.6679441928863525,False,65,
parcprinter,task19,"hadd,hff,landmark",alternation,3,True,14.107483148574829,False,89,
parcprinter,task20,"hadd,hff,landmark",alternation,3,True,23.458183765411377,False,89,
parcprinter,task21,"hadd,hff,landmark",alternation,3,True,0.17648696899414062,False,8,
parcprinter,task22,"hadd,hff,landmark",alternation,3,True,0.20322608947753906,False,15,
parcprinter,task23,"hadd,hff,landmark",alternation,3,True,0.2654252052307129,False,22,
parcprinter,task24,"hadd,hff,landmark",alternation,3,True,0.3908677101135254,False,29,
parcprinter,task25,"hadd,hff,landmark",alternation,3,True,0.9964320659637451,False,40,
parcprinter,task26,"hadd,hff,landmark",alternation,3,True,1.1587986946105957,False,43,
parcprinter,task27,"hadd,hff,landmark",alternation,3,True,1.9222471714019775,False,50,
parcprinter,task28,"hadd,hff,landmark",alternation,3,True,3.109661340713501,False,57,
parcprinter,task29,"hadd,hff,landmark",alternation,3,True,9.436862468719482,False,72,
parcprinter,task30,"hadd,hff,landmark",alternation,3,True,8.249786138534546,False,75,
sokoban,task01,"hadd,hff,landmark",max,3,True,2.710028648376465,False,49,
sokoban,task02,"hadd,hff,landmark",max,3,True,0.6750364303588867,False,41,
sokoban,task03,"hadd,hff,landmark",max,3,True,0.43551135063171387,False,51,
sokoban,task04,"hadd,hff,landmark",max,3,True,4.313441038131714,False,135,
sokoban,task05,"hadd,hff,landmark",max,3,True,8.06111192703247,False,55,
sokoban,task06,"hadd,hff,landmark",max,3,True,0.9719488620758057,False,35,
sokoban,task07,"hadd,hff,landmark",max,3,True,30.404274463653564,False,99,
sokoban,task08,"hadd,hff,landmark",max,3,True,140.8861312866211,False,170,
sokoban,task09,"hadd,hff,landmark",max,3,True,12.735598087310791,False,124,
sokoban,task10,"hadd,hff,landmark",max,3,True,32.14939641952515,False,119,
sokoban,task11,"hadd,hff,landmark",max,3,True,146.4008538722992,False,373,
sokoban,task12,"hadd,hff,landmark",max,3,True,25.559362649917603,False,160,
sokoban,task13,"hadd,hff,landmark",max,3,False,300,True,,
